text,label
"The update does what it says, no complaints, no praise.",neutral
The subscription arrived broken and customer service ignored me.,negative
"The new feature works as expected, pretty standard overall.",neutral
"Couldn't be happier with the delivery, will buy again.",positive
"The mobile experience is slow, buggy, and confusing to use.",negative
"Fantastic experience with the checkout process, would recommend to anyone.",positive
The delivery arrived broken and customer service ignored me.,negative
"I have mixed feelings about the packaging, some parts are fine.",neutral
"Not bad, not great -- the mobile experience is just fine.",neutral
"The product failed within a week, extremely poor quality.",negative
"Very frustrated with the subscription, this needs a lot of work.",negative
"Very frustrated with the website, this needs a lot of work.",negative
"The mobile experience met the basic requirements, nothing more.",neutral
"Great job on the checkout process, everything worked perfectly.",positive
"I regret purchasing the service, total letdown.",negative
"This tool is fine for the price, average quality.",neutral
"I'm very happy with the checkout process, five stars.",positive
"Couldn't be happier with the mobile experience, will buy again.",positive
The mobile experience kept crashing and support was no help at all.,negative
"This gadget is slow, buggy, and confusing to use.",negative
"The new feature is fast, reliable, and easy to use.",positive
"I have mixed feelings about the software, some parts are fine.",neutral
"Really smooth experience, the product is top notch.",positive
"Worst experience ever, this tool does not work as advertised.",negative
"This gadget exceeded my expectations, really impressed.",positive
"The support team is slow, buggy, and confusing to use.",negative
The subscription works flawlessly and looks great too.,positive
"I regret purchasing the mobile experience, total letdown.",negative
The checkout process kept crashing and support was no help at all.,negative
"I'm very happy with the support team, five stars.",positive
The packaging kept crashing and support was no help at all.,negative
"I absolutely love this tool, it works great.",positive
"The website is fast, reliable, and easy to use.",positive
The delivery kept crashing and support was no help at all.,negative
"The new feature exceeded my expectations, really impressed.",positive
"The support team exceeded my expectations, really impressed.",positive
"I absolutely love the delivery, it works great.",positive
"I have mixed feelings about the delivery, some parts are fine.",neutral
"The software is fine for the price, average quality.",neutral
"The update is slow, buggy, and confusing to use.",negative
"Couldn't be happier with this tool, will buy again.",positive
"I'm really disappointed with the product, it barely works.",negative
"Couldn't be happier with the subscription, will buy again.",positive
"I have mixed feelings about the mobile experience, some parts are fine.",neutral
"I'm really disappointed with the app, it barely works.",negative
"I regret purchasing the customer service, total letdown.",negative
"The packaging is okay, nothing special either way.",neutral
"Very frustrated with the product, this needs a lot of work.",negative
